"Id","Name","StoreVisit__c","Category__c","Description__c","DueDate__c","IsCompleted__c","Priority__c","CreatedDate"
"a0D5g00000ZnT3aEAF","VD-0001","a0C5g00000YmS2aEAF","在庫確認","夏物の入荷スケジュールを本部に確認し、店舗に共有する。特にアウターとバッグカテゴリの入荷時期を優先確認。","2025-03-22","true","1","2025-03-15T10:30:00.000+0000"
"a0D5g00000ZnT3bEAF","VD-0002","a0C5g00000YmS2aEAF","販促物設置","春のキャンペーンPOPが3/20到着予定。到着次第、レジ横とエントランスに設置する。","2025-03-25","false","2","2025-03-15T10:30:00.000+0000"
"a0D5g00000ZnT3cEAF","VD-0003","a0C5g00000YmS2bEAF","商品配置","Urban Series 導入に伴う既存商品の入れ替え。売上下位20%の商品をリストアップし、入れ替え候補とする。","2025-03-17","true","1","2025-03-10T09:30:00.000+0000"
"a0D5g00000ZnT3dEAF","VD-0004","a0C5g00000YmS2bEAF","価格交渉","新商品ラインの卸価格について、本部バイヤーと最終調整。目標マージン率35%を確保する。","2025-03-20","false","2","2025-03-10T09:30:00.000+0000"
"a0D5g00000ZnT3eEAF","VD-0005","a0C5g00000YmS2cEAF","クレーム","品番AK-2025-003の不具合について品質管理部門に正式報告。不具合写真・顧客クレーム記録を添付。","2025-03-03","true","1","2025-02-28T13:30:00.000+0000"
"a0D5g00000ZnT3fEAF","VD-0006","a0C5g00000YmS2cEAF","クレーム","不具合品の同ロット（Lot: 2024W-003A）在庫の全店舗確認指示を本部に依頼。","2025-03-05","true","1","2025-02-28T13:30:00.000+0000"
"a0D5g00000ZnT3gEAF","VD-0007","a0C5g00000YmS2cEAF","その他","被害顧客3名への謝罪レターを作成・送付。500円分のクーポン券を同封する。","2025-03-07","false","2","2025-02-28T13:30:00.000+0000"
"a0D5g00000ZnT3hEAF","VD-0008","a0C5g00000YmS2dEAF","商品配置","棚割り変更のbefore/after写真をエリアマネージャーに送付。1週間後の売上効果レポートも併せて提出予定。","2025-03-19","false","3","2025-03-12T09:00:00.000+0000"
"a0D5g00000ZnT3iEAF","VD-0009","a0C5g00000YmS2eEAF","販促物設置","コンパクトサイズのフロアスタンドPOPを本部デザインチームに発注。心斎橋店の設置スペース（幅60cm×高さ150cm以内）に収まるサイズで制作依頼。","2025-03-15","false","2","2025-03-08T14:00:00.000+0000"
"a0D5g00000ZnT3jEAF","VD-0010","a0C5g00000YmS2fEAF","在庫確認","クリアランスセール終了後の残在庫リストを作成。アウトレット転送対象商品を選定し、物流チームに転送手配を依頼。","2025-02-01","true","1","2025-01-20T11:00:00.000+0000"
"a0D5g00000ZnT3kEAF","VD-0011","a0C5g00000YmS2gEAF","その他","サステナブルラインの商品知識テスト（全スタッフ対象）を実施するための教材を準備。e-learningプラットフォームにアップロード。","2025-02-28","true","2","2025-02-15T09:30:00.000+0000"
"a0D5g00000ZnT3lEAF","VD-0012","a0C5g00000YmS2gEAF","商品配置","サステナブルラインの専用コーナーのレイアウト案を作成。環境配慮をアピールするPOPデザインも併せて検討。","2025-03-01","false","3","2025-02-15T09:30:00.000+0000"
"a0D5g00000ZnT3mEAF","VD-0013","a0C5g00000YmS2hEAF","販促物設置","フレッシャーズ向けコーディネートパネル（A1サイズ×3枚）を入口付近に設置。セット販売の価格表も作成する。","2025-03-10","false","1","2025-03-01T10:30:00.000+0000"
"a0D5g00000ZnT3nEAF","VD-0014","a0C5g00000YmS2iEAF","販促物設置","多言語POP（英語・中国語・韓国語）の追加印刷を本部に依頼。各50枚×3言語。","2025-03-25","false","2","2025-03-18T09:15:00.000+0000"
"a0D5g00000ZnT3oEAF","VD-0015","a0C5g00000YmS2iEAF","在庫確認","インバウンド向け人気商品（品番IB-2025-001〜005）の在庫補充。現在の在庫回転率から、2週間分の追加発注を行う。","2025-03-22","false","1","2025-03-18T09:15:00.000+0000"
